type,dir,arrival,departure,meta: start time 4:14 PM = 0 ||
w,down,1,28,
w,down,1,28,
w,down,1,,
c,up,1,,
r,down,2,,
c,down,2,,
c,up,3,,
c,up,3,,
w,down,4,11,
w,down,4,11,
c,up,4,,
w,down,4,,
r,down,4,,
w,up,4,,
w,down,5,,
w,down,5,,
r,up,5,,
w,up,6,,
w,down,6,,
c,down,6,7,
w,up,6,,
w,up,6,,
w,up,6,,
w,down,7,,
w,down,7,,
w,down,7,,
w,up,7,,
w,up,7,,
r,up,7,,
w,down,8,24,
w,down,8,24,
w,down,8,24,
r,up,8,,
w,down,8,,
w,up,8,21,
w,up,8,21,
w,up,8,21,
r,down,9,,
w,down,9,,
w,down,10,30,
r,down,10,,
w,down,10,,
w,down,10,,
w,down,10,,
c,up,11,,
c,down,12,,
c,up,12,,
c,down,12,28,
c,down,12,28,
w,up,12,,
w,up,12,,
w,down,13,,
w,down,13,14,
w,down,13,14,
w,down,13,,
w,down,13,,
w,down,13,,
w,down,14,,
c,down,14,25,
c,down,14,25,
r,down,15,,
r,down,15,,
w,down,15,21,
w,down,15,21,
c,up,15,,
w,down,15,,
w,down,15,,
c,down,16,,
w,up,16,,
w,up,16,,
w,up,16,,
c,down,16,,
c,up,16,,
w,down,16,20,
w,down,16,20,
w,down,16,20,
w,down,17,21,
w,down,17,21,
r,up,17,,
r,up,17,,
r,up,17,21,
w,down,18,,
w,up,18,,
c,up,18,,
w,down,18,,
w,down,19,,
w,down,19,,
w,up,19,22,
w,up,19,22,
w,up,19,22,
c,up,19,20,
c,up,19,20,
r,up,20,,
c,down,20,25,
c,down,20,25,
c,down,20,25,
w,up,21,23,
c,down,21,,
r,down,21,,
w,down,23,,
c,down,23,,
w,down,23,25,
w,down,23,25,
w,down,23,25,
w,up,24,,
w,down,24,,
c,down,24,,
c,down,25,,
r,down,25,,
w,down,25,53,
w,down,25,,
r,down,25,,
w,up,26,,
w,down,26,,
c,down,26,,
w,down,26,,
w,down,26,,
c,down,27,,
r,down,27,,
c,up,27,,
c,down,27,,
w,up,27,,
r,down,28,,
r,down,28,,
w,up,28,,
r,up,28,,
r,up,28,,
w,down,29,,
c,down,29,,
w,down,29,,
w,down,29,,
c,down,29,,
w,down,29,,
c,down,31,,
c,down,31,,
w,up,31,,
w,up,31,,
w,down,31,,
c,up,32,,
c,up,32,,
w,down,32,,
r,up,32,,
r,up,32,,
r,down,32,,
r,down,34,,
c,down,36,,
c,down,36,,
r,up,36,,
w,up,37,,
w,up,37,,
w,up,37,,
r,up,37,,
r,up,38,,
c,down,38,,
w,down,38,,
c,down,38,,
w,up,38,,
w,up,38,,
w,up,39,,
w,down,39,,
w,down,39,,
r,down,39,,
w,up,39,,
w,down,41,,
c,up,41,,
r,down,41,,
r,down,41,,
w,up,41,,
